Frequency_Band,Center_Frequency_Hz,Power_Watts,Power_dBW
615-616 Hz,615.5,1500121063.73,91.76
616-617 Hz,616.5,1500121263.61,91.76
617-618 Hz,617.5,1500121463.48,91.76
618-619 Hz,618.5,1500121663.36,91.76
619-620 Hz,619.5,1500121863.24,91.76
620-621 Hz,620.5,1500122063.12,91.76
621-622 Hz,621.5,1500122263.00,91.76
622-623 Hz,622.5,1500122462.88,91.76
623-624 Hz,623.5,1500122662.76,91.76
624-625 Hz,624.5,1500122862.64,91.76
625-626 Hz,625.5,1500123062.51,91.76
626-627 Hz,626.5,1500123262.39,91.76
627-628 Hz,627.5,1500123462.27,91.76
628-629 Hz,628.5,1500123662.15,91.76
629-630 Hz,629.5,1500123862.02,91.76
630-631 Hz,630.5,1500124061.90,91.76
631-632 Hz,631.5,1500124261.78,91.76
632-633 Hz,632.5,1500124461.65,91.76
633-634 Hz,633.5,1500124661.53,91.76
634-635 Hz,634.5,1500124861.41,91.76
635-636 Hz,635.5,1500125061.28,91.76
636-637 Hz,636.5,1500125261.16,91.76
637-638 Hz,637.5,1500125461.03,91.76
638-639 Hz,638.5,1500125660.91,91.76
639-640 Hz,639.5,1500125860.78,91.76
640-641 Hz,640.5,1500126060.66,91.76
641-642 Hz,641.5,1500126260.53,91.76
642-643 Hz,642.5,1500126460.41,91.76
643-644 Hz,643.5,1500126660.28,91.76
644-645 Hz,644.5,1500126860.16,91.76
645-646 Hz,645.5,1500127060.03,91.76
646-647 Hz,646.5,1500127259.90,91.76
647-648 Hz,647.5,1500127459.78,91.76
648-649 Hz,648.5,1500127659.65,91.76
649-650 Hz,649.5,1500127859.52,91.76
650-651 Hz,650.5,1500128059.40,91.76
651-652 Hz,651.5,1500128259.27,91.76
652-653 Hz,652.5,1500128459.14,91.76
653-654 Hz,653.5,1500128659.01,91.76
654-655 Hz,654.5,1500128858.89,91.76
655-656 Hz,655.5,1500129058.76,91.76
656-657 Hz,656.5,1500129258.63,91.76
657-658 Hz,657.5,1500129458.50,91.76
658-659 Hz,658.5,1500129658.37,91.76
659-660 Hz,659.5,1500129858.24,91.76
660-661 Hz,660.5,1500130058.11,91.76
661-662 Hz,661.5,1500130257.98,91.76
662-663 Hz,662.5,1500130457.86,91.76
663-664 Hz,663.5,1500130657.73,91.76
664-665 Hz,664.5,1500130857.60,91.76
665-666 Hz,665.5,1500131057.47,91.76
666-667 Hz,666.5,1500131257.34,91.76
667-668 Hz,667.5,1500131457.21,91.76
668-669 Hz,668.5,1500131657.07,91.76
669-670 Hz,669.5,1500131856.94,91.76
670-671 Hz,670.5,1500132056.81,91.76
671-672 Hz,671.5,1500132256.68,91.76
672-673 Hz,672.5,1500132456.55,91.76
673-674 Hz,673.5,1500132656.42,91.76
674-675 Hz,674.5,1500132856.29,91.76
675-676 Hz,675.5,1500133056.15,91.76
676-677 Hz,676.5,1500133256.02,91.76
677-678 Hz,677.5,1500133455.89,91.76
678-679 Hz,678.5,1500133655.76,91.76
679-680 Hz,679.5,1500133855.62,91.76
680-681 Hz,680.5,1500134055.49,91.76
681-682 Hz,681.5,1500134255.36,91.76
682-683 Hz,682.5,1500134455.22,91.76
683-684 Hz,683.5,1500134655.09,91.76
684-685 Hz,684.5,1500134854.96,91.76
685-686 Hz,685.5,1500135054.82,91.76
686-687 Hz,686.5,1500135254.69,91.76
687-688 Hz,687.5,1500135454.55,91.76
688-689 Hz,688.5,1500135654.42,91.76
689-690 Hz,689.5,1500135854.28,91.76
690-691 Hz,690.5,1500136054.15,91.76
691-692 Hz,691.5,1500136254.01,91.76
692-693 Hz,692.5,1500136453.88,91.76
693-694 Hz,693.5,1500136653.74,91.76
694-695 Hz,694.5,1500136853.61,91.76
695-696 Hz,695.5,1500137053.47,91.76
696-697 Hz,696.5,1500137253.33,91.76
697-698 Hz,697.5,1500137453.20,91.76
698-699 Hz,698.5,1500137653.06,91.76
699-700 Hz,699.5,1500137852.92,91.76
700-701 Hz,700.5,1500138052.79,91.76
701-702 Hz,701.5,1500138252.65,91.76
702-703 Hz,702.5,1500138452.51,91.76
703-704 Hz,703.5,1500138652.38,91.76
704-705 Hz,704.5,1500138852.24,91.76
705-706 Hz,705.5,1500139052.10,91.76
706-707 Hz,706.5,1500139251.96,91.76
707-708 Hz,707.5,1500139451.82,91.76
708-709 Hz,708.5,1500139651.68,91.76
709-710 Hz,709.5,1500139851.55,91.76
710-711 Hz,710.5,1500140051.41,91.76
711-712 Hz,711.5,1500140251.27,91.76
712-713 Hz,712.5,1500140451.13,91.76
713-714 Hz,713.5,1500140650.99,91.76
714-715 Hz,714.5,1500140850.85,91.76
715-716 Hz,715.5,1500141050.71,91.76
716-717 Hz,716.5,1500141250.57,91.76
717-718 Hz,717.5,1500141450.43,91.76
718-719 Hz,718.5,1500141650.29,91.76
719-720 Hz,719.5,1500141850.15,91.76
720-721 Hz,720.5,1500142050.00,91.76
721-722 Hz,721.5,1500142249.86,91.76
722-723 Hz,722.5,1500142449.72,91.76
723-724 Hz,723.5,1500142649.58,91.76
724-725 Hz,724.5,1500142849.44,91.76
725-726 Hz,725.5,1500143049.30,91.76
726-727 Hz,726.5,1500143249.15,91.76
727-728 Hz,727.5,1500143449.01,91.76
728-729 Hz,728.5,1500143648.87,91.76
729-730 Hz,729.5,1500143848.73,91.76
730-731 Hz,730.5,1500144048.58,91.76
731-732 Hz,731.5,1500144248.44,91.76
732-733 Hz,732.5,1500144448.30,91.76
733-734 Hz,733.5,1500144648.15,91.76
734-735 Hz,734.5,1500144848.01,91.76
735-736 Hz,735.5,1500145047.87,91.76
736-737 Hz,736.5,1500145247.72,91.76
737-738 Hz,737.5,1500145447.58,91.76
738-739 Hz,738.5,1500145647.43,91.76
739-740 Hz,739.5,1500145847.29,91.76
740-741 Hz,740.5,1500146047.14,91.76
741-742 Hz,741.5,1500146247.00,91.76
742-743 Hz,742.5,1500146446.85,91.76
743-744 Hz,743.5,1500146646.71,91.76
744-745 Hz,744.5,1500146846.56,91.76
745-746 Hz,745.5,1500147046.41,91.76
746-747 Hz,746.5,1500147246.27,91.76
747-748 Hz,747.5,1500147446.12,91.76
748-749 Hz,748.5,1500147645.98,91.76
749-750 Hz,749.5,1500147845.83,91.76
750-751 Hz,750.5,1500148045.68,91.76
751-752 Hz,751.5,1500148245.53,91.76
752-753 Hz,752.5,1500148445.39,91.76
753-754 Hz,753.5,1500148645.24,91.76
754-755 Hz,754.5,1500148845.09,91.76
755-756 Hz,755.5,1500149044.94,91.76
756-757 Hz,756.5,1500149244.80,91.76
757-758 Hz,757.5,1500149444.65,91.76
758-759 Hz,758.5,1500149644.50,91.76
759-760 Hz,759.5,1500149844.35,91.76
760-761 Hz,760.5,1500150044.20,91.76
761-762 Hz,761.5,1500150244.05,91.76
762-763 Hz,762.5,1500150443.90,91.76
763-764 Hz,763.5,1500150643.75,91.76
764-765 Hz,764.5,1500150843.60,91.76
765-766 Hz,765.5,1500151043.45,91.76
766-767 Hz,766.5,1500151243.30,91.76
767-768 Hz,767.5,1500151443.15,91.76
768-769 Hz,768.5,1500151643.00,91.76
769-770 Hz,769.5,1500151842.85,91.76
770-771 Hz,770.5,1500152042.70,91.76
771-772 Hz,771.5,1500152242.55,91.76
772-773 Hz,772.5,1500152442.40,91.76
773-774 Hz,773.5,1500152642.25,91.76
774-775 Hz,774.5,1500152842.09,91.76
775-776 Hz,775.5,1500153041.94,91.76
776-777 Hz,776.5,1500153241.79,91.76
777-778 Hz,777.5,1500153441.64,91.76
778-779 Hz,778.5,1500153641.48,91.76
779-780 Hz,779.5,1500153841.33,91.76
780-781 Hz,780.5,1500154041.18,91.76
781-782 Hz,781.5,1500154241.03,91.76
782-783 Hz,782.5,1500154440.87,91.76
783-784 Hz,783.5,1500154640.72,91.76
784-785 Hz,784.5,1500154840.56,91.76
785-786 Hz,785.5,1500155040.41,91.76
786-787 Hz,786.5,1500155240.26,91.76
787-788 Hz,787.5,1500155440.10,91.76
788-789 Hz,788.5,1500155639.95,91.76
789-790 Hz,789.5,1500155839.79,91.76
790-791 Hz,790.5,1500156039.64,91.76
791-792 Hz,791.5,1500156239.48,91.76
792-793 Hz,792.5,1500156439.33,91.76
793-794 Hz,793.5,1500156639.17,91.76
794-795 Hz,794.5,1500156839.02,91.76
795-796 Hz,795.5,1500157038.86,91.76
796-797 Hz,796.5,1500157238.70,91.76
797-798 Hz,797.5,1500157438.55,91.76
798-799 Hz,798.5,1500157638.39,91.76
799-800 Hz,799.5,1500157838.23,91.76
800-801 Hz,800.5,1500158038.08,91.76
801-802 Hz,801.5,1500158237.92,91.76
802-803 Hz,802.5,1500158437.76,91.76
803-804 Hz,803.5,1500158637.60,91.76
804-805 Hz,804.5,1500158837.45,91.76
805-806 Hz,805.5,1500159037.29,91.76
806-807 Hz,806.5,1500159237.13,91.76
807-808 Hz,807.5,1500159436.97,91.76
808-809 Hz,808.5,1500159636.81,91.76
809-810 Hz,809.5,1500159836.66,91.76
810-811 Hz,810.5,1500160036.50,91.76
811-812 Hz,811.5,1500160236.34,91.76
812-813 Hz,812.5,1500160436.18,91.76
813-814 Hz,813.5,1500160636.02,91.76
814-815 Hz,814.5,1500160835.86,91.76
815-816 Hz,815.5,1500161035.70,91.76
816-817 Hz,816.5,1500161235.54,91.76
817-818 Hz,817.5,1500161435.38,91.76
818-819 Hz,818.5,1500161635.22,91.76
819-820 Hz,819.5,1500161835.06,91.76
820-821 Hz,820.5,1500162034.90,91.76
821-822 Hz,821.5,1500162234.73,91.76
822-823 Hz,822.5,1500162434.57,91.76
823-824 Hz,823.5,1500162634.41,91.76
824-825 Hz,824.5,1500162834.25,91.76
825-826 Hz,825.5,1500163034.09,91.76
826-827 Hz,826.5,1500163233.93,91.76
827-828 Hz,827.5,1500163433.76,91.76
828-829 Hz,828.5,1500163633.60,91.76
829-830 Hz,829.5,1500163833.44,91.76
830-831 Hz,830.5,1500164033.28,91.76
831-832 Hz,831.5,1500164233.11,91.76
832-833 Hz,832.5,1500164432.95,91.76
833-834 Hz,833.5,1500164632.79,91.76
834-835 Hz,834.5,1500164832.62,91.76
835-836 Hz,835.5,1500165032.46,91.76
836-837 Hz,836.5,1500165232.29,91.76
837-838 Hz,837.5,1500165432.13,91.76
838-839 Hz,838.5,1500165631.96,91.76
839-840 Hz,839.5,1500165831.80,91.76
840-841 Hz,840.5,1500166031.63,91.76
841-842 Hz,841.5,1500166231.47,91.76
842-843 Hz,842.5,1500166431.30,91.76
843-844 Hz,843.5,1500166631.14,91.76
844-845 Hz,844.5,1500166830.97,91.76
845-846 Hz,845.5,1500167030.81,91.76
846-847 Hz,846.5,1500167230.64,91.76
847-848 Hz,847.5,1500167430.47,91.76
848-849 Hz,848.5,1500167630.31,91.76
849-850 Hz,849.5,1500167830.14,91.76
850-851 Hz,850.5,1500168029.97,91.76
851-852 Hz,851.5,1500168229.81,91.76
852-853 Hz,852.5,1500168429.64,91.76
853-854 Hz,853.5,1500168629.47,91.76
854-855 Hz,854.5,1500168829.30,91.76
855-856 Hz,855.5,1500169029.14,91.76
856-857 Hz,856.5,1500169228.97,91.76
857-858 Hz,857.5,1500169428.80,91.76
858-859 Hz,858.5,1500169628.63,91.76
859-860 Hz,859.5,1500169828.46,91.76
860-861 Hz,860.5,1500170028.29,91.76
861-862 Hz,861.5,1500170228.13,91.76
862-863 Hz,862.5,1500170427.96,91.76
863-864 Hz,863.5,1500170627.79,91.76
864-865 Hz,864.5,1500170827.62,91.76
865-866 Hz,865.5,1500171027.45,91.76
866-867 Hz,866.5,1500171227.28,91.76
867-868 Hz,867.5,1500171427.11,91.76
868-869 Hz,868.5,1500171626.94,91.76
869-870 Hz,869.5,1500171826.76,91.76
870-871 Hz,870.5,1500172026.59,91.76
871-872 Hz,871.5,1500172226.42,91.76
872-873 Hz,872.5,1500172426.25,91.76
873-874 Hz,873.5,1500172626.08,91.76
874-875 Hz,874.5,1500172825.91,91.76
875-876 Hz,875.5,1500173025.74,91.76
876-877 Hz,876.5,1500173225.56,91.76
877-878 Hz,877.5,1500173425.39,91.76
878-879 Hz,878.5,1500173625.22,91.76
879-880 Hz,879.5,1500173825.05,91.76
880-881 Hz,880.5,1500174024.87,91.76
881-882 Hz,881.5,1500174224.70,91.76
882-883 Hz,882.5,1500174424.53,91.76
883-884 Hz,883.5,1500174624.35,91.76
884-885 Hz,884.5,1500174824.18,91.76
885-886 Hz,885.5,1500175024.01,91.76
886-887 Hz,886.5,1500175223.83,91.76
887-888 Hz,887.5,1500175423.66,91.76
888-889 Hz,888.5,1500175623.48,91.76
889-890 Hz,889.5,1500175823.31,91.76
890-891 Hz,890.5,1500176023.13,91.76
891-892 Hz,891.5,1500176222.96,91.76
892-893 Hz,892.5,1500176422.78,91.76
893-894 Hz,893.5,1500176622.61,91.76
894-895 Hz,894.5,1500176822.43,91.76
895-896 Hz,895.5,1500177022.26,91.76
896-897 Hz,896.5,1500177222.08,91.76
897-898 Hz,897.5,1500177421.90,91.76
898-899 Hz,898.5,1500177621.73,91.76
899-900 Hz,899.5,1500177821.55,91.76
900-901 Hz,900.5,1500178021.37,91.76
901-902 Hz,901.5,1500178221.20,91.76
902-903 Hz,902.5,1500178421.02,91.76
903-904 Hz,903.5,1500178620.84,91.76
904-905 Hz,904.5,1500178820.66,91.76
905-906 Hz,905.5,1500179020.49,91.76
906-907 Hz,906.5,1500179220.31,91.76
907-908 Hz,907.5,1500179420.13,91.76
908-909 Hz,908.5,1500179619.95,91.76
909-910 Hz,909.5,1500179819.77,91.76
910-911 Hz,910.5,1500180019.59,91.76
911-912 Hz,911.5,1500180219.42,91.76
912-913 Hz,912.5,1500180419.24,91.76
913-914 Hz,913.5,1500180619.06,91.76
914-915 Hz,914.5,1500180818.88,91.76
915-916 Hz,915.5,1500181018.70,91.76
916-917 Hz,916.5,1500181218.52,91.76
917-918 Hz,917.5,1500181418.34,91.76
918-919 Hz,918.5,1500181618.16,91.76
919-920 Hz,919.5,1500181817.98,91.76
920-921 Hz,920.5,1500182017.79,91.76
921-922 Hz,921.5,1500182217.61,91.76
922-923 Hz,922.5,1500182417.43,91.76
923-924 Hz,923.5,1500182617.25,91.76
924-925 Hz,924.5,1500182817.07,91.76
925-926 Hz,925.5,1500183016.89,91.76
926-927 Hz,926.5,1500183216.71,91.76
927-928 Hz,927.5,1500183416.52,91.76
928-929 Hz,928.5,1500183616.34,91.76
929-930 Hz,929.5,1500183816.16,91.76
930-931 Hz,930.5,1500184015.97,91.76
931-932 Hz,931.5,1500184215.79,91.76
932-933 Hz,932.5,1500184415.61,91.76
933-934 Hz,933.5,1500184615.42,91.76
934-935 Hz,934.5,1500184815.24,91.76
935-936 Hz,935.5,1500185015.06,91.76
936-937 Hz,936.5,1500185214.87,91.76
937-938 Hz,937.5,1500185414.69,91.76
938-939 Hz,938.5,1500185614.50,91.76
939-940 Hz,939.5,1500185814.32,91.76
940-941 Hz,940.5,1500186014.14,91.76
941-942 Hz,941.5,1500186213.95,91.76
942-943 Hz,942.5,1500186413.76,91.76
943-944 Hz,943.5,1500186613.58,91.76
944-945 Hz,944.5,1500186813.39,91.76
945-946 Hz,945.5,1500187013.21,91.76
946-947 Hz,946.5,1500187213.02,91.76
947-948 Hz,947.5,1500187412.84,91.76
948-949 Hz,948.5,1500187612.65,91.76
949-950 Hz,949.5,1500187812.46,91.76
950-951 Hz,950.5,1500188012.28,91.76
951-952 Hz,951.5,1500188212.09,91.76
952-953 Hz,952.5,1500188411.90,91.76
953-954 Hz,953.5,1500188611.71,91.76
954-955 Hz,954.5,1500188811.53,91.76
955-956 Hz,955.5,1500189011.34,91.76
956-957 Hz,956.5,1500189211.15,91.76
957-958 Hz,957.5,1500189410.96,91.76
958-959 Hz,958.5,1500189610.77,91.76
959-960 Hz,959.5,1500189810.59,91.76
960-961 Hz,960.5,1500190010.40,91.76
961-962 Hz,961.5,1500190210.21,91.76
962-963 Hz,962.5,1500190410.02,91.76
963-964 Hz,963.5,1500190609.83,91.76
964-965 Hz,964.5,1500190809.64,91.76
965-966 Hz,965.5,1500191009.45,91.76
966-967 Hz,966.5,1500191209.26,91.76
967-968 Hz,967.5,1500191409.07,91.76
968-969 Hz,968.5,1500191608.88,91.76
969-970 Hz,969.5,1500191808.69,91.76
970-971 Hz,970.5,1500192008.50,91.76
971-972 Hz,971.5,1500192208.31,91.76
972-973 Hz,972.5,1500192408.11,91.76
973-974 Hz,973.5,1500192607.92,91.76
974-975 Hz,974.5,1500192807.73,91.76
975-976 Hz,975.5,1500193007.54,91.76
976-977 Hz,976.5,1500193207.35,91.76
977-978 Hz,977.5,1500193407.16,91.76
978-979 Hz,978.5,1500193606.96,91.76
979-980 Hz,979.5,1500193806.77,91.76
980-981 Hz,980.5,1500194006.58,91.76
981-982 Hz,981.5,1500194206.38,91.76
982-983 Hz,982.5,1500194406.19,91.76
983-984 Hz,983.5,1500194606.00,91.76
984-985 Hz,984.5,1500194805.80,91.76
985-986 Hz,985.5,1500195005.61,91.76
986-987 Hz,986.5,1500195205.42,91.76
987-988 Hz,987.5,1500195405.22,91.76
988-989 Hz,988.5,1500195605.03,91.76
989-990 Hz,989.5,1500195804.83,91.76
990-991 Hz,990.5,1500196004.64,91.76
991-992 Hz,991.5,1500196204.44,91.76
992-993 Hz,992.5,1500196404.25,91.76
993-994 Hz,993.5,1500196604.05,91.76
994-995 Hz,994.5,1500196803.86,91.76
995-996 Hz,995.5,1500197003.66,91.76
996-997 Hz,996.5,1500197203.47,91.76
997-998 Hz,997.5,1500197403.27,91.76
998-999 Hz,998.5,1500197603.07,91.76
999-1000 Hz,999.5,1500197802.88,91.76
1.00-1.01 kHz,1005,1500198901.79,91.76
1.01-1.02 kHz,1015,1500200899.80,91.76
1.02-1.03 kHz,1025,1500202897.80,91.76
1.03-1.04 kHz,1035,1500204895.77,91.76
1.04-1.05 kHz,1045,1500206893.72,91.76
1.05-1.06 kHz,1055,1500208891.65,91.76
1.06-1.07 kHz,1065,1500210889.56,91.76
1.07-1.08 kHz,1075,1500212887.46,91.76
1.08-1.09 kHz,1085,1500214885.33,91.76
1.09-1.10 kHz,1095,1500216883.18,91.76
1.10-1.11 kHz,1105,1500218881.01,91.76
1.11-1.12 kHz,1115,1500220878.83,91.76
1.12-1.13 kHz,1125,1500222876.62,91.76
1.13-1.14 kHz,1135,1500224874.39,91.76
1.14-1.15 kHz,1145,1500226872.15,91.76
1.15-1.16 kHz,1155,1500228869.88,91.76
1.16-1.17 kHz,1165,1500230867.59,91.76
1.17-1.18 kHz,1175,1500232865.29,91.76
1.18-1.19 kHz,1185,1500234862.96,91.76
1.19-1.20 kHz,1195,1500236860.61,91.76
1.20-1.21 kHz,1205,1500238858.25,91.76
1.21-1.22 kHz,1215,1500240855.86,91.76
1.22-1.23 kHz,1225,1500242853.45,91.76
1.23-1.24 kHz,1235,1500244851.03,91.76
1.24-1.25 kHz,1245,1500246848.58,91.76
1.25-1.26 kHz,1255,1500248846.11,91.76
1.26-1.27 kHz,1265,1500250843.63,91.76
1.27-1.28 kHz,1275,1500252841.12,91.76
1.28-1.29 kHz,1285,1500254838.60,91.76
1.29-1.30 kHz,1295,1500256836.05,91.76
1.30-1.31 kHz,1305,1500258833.49,91.76
1.31-1.32 kHz,1315,1500260830.90,91.76
1.32-1.33 kHz,1325,1500262828.29,91.76
1.33-1.34 kHz,1335,1500264825.67,91.76
1.34-1.35 kHz,1345,1500266823.02,91.76
1.35-1.36 kHz,1355,1500268820.36,91.76
1.36-1.37 kHz,1365,1500270817.67,91.76
1.37-1.38 kHz,1375,1500272814.97,91.76
1.38-1.39 kHz,1385,1500274812.24,91.76
1.39-1.40 kHz,1395,1500276809.50,91.76
1.40-1.41 kHz,1405,1500278806.73,91.76
1.41-1.42 kHz,1415,1500280803.95,91.76
1.42-1.43 kHz,1425,1500282801.14,91.76
1.43-1.44 kHz,1435,1500284798.32,91.76
1.44-1.45 kHz,1445,1500286795.47,91.76
1.45-1.46 kHz,1455,1500288792.61,91.76
1.46-1.47 kHz,1465,1500290789.73,91.76
1.47-1.48 kHz,1475,1500292786.82,91.76
1.48-1.49 kHz,1485,1500294783.90,91.76
1.49-1.50 kHz,1495,1500296780.95,91.76
1.50-1.51 kHz,1505,1500298777.99,91.76
1.51-1.52 kHz,1515,1500300775.00,91.76
1.52-1.53 kHz,1525,1500302772.00,91.76
1.53-1.54 kHz,1535,1500304768.98,91.76
1.54-1.55 kHz,1545,1500306765.93,91.76
1.55-1.56 kHz,1555,1500308762.87,91.76
1.56-1.57 kHz,1565,1500310759.79,91.76
1.57-1.58 kHz,1575,1500312756.68,91.76
1.58-1.59 kHz,1585,1500314753.56,91.76
1.59-1.60 kHz,1595,1500316750.42,91.76
1.60-1.61 kHz,1605,1500318747.25,91.76
1.61-1.62 kHz,1615,1500320744.07,91.76
1.62-1.63 kHz,1625,1500322740.87,91.76
1.63-1.64 kHz,1635,1500324737.64,91.76
1.64-1.65 kHz,1645,1500326734.40,91.76
1.65-1.66 kHz,1655,1500328731.14,91.76
1.66-1.67 kHz,1665,1500330727.85,91.76
1.67-1.68 kHz,1675,1500332724.55,91.76
1.68-1.69 kHz,1685,1500334721.23,91.76
1.69-1.70 kHz,1695,1500336717.89,91.76
1.70-1.71 kHz,1705,1500338714.52,91.76
1.71-1.72 kHz,1715,1500340711.14,91.76
1.72-1.73 kHz,1725,1500342707.74,91.76
1.73-1.74 kHz,1735,1500344704.32,91.76
1.74-1.75 kHz,1745,1500346700.87,91.76
1.75-1.76 kHz,1755,1500348697.41,91.76
1.76-1.77 kHz,1765,1500350693.93,91.76
1.77-1.78 kHz,1775,1500352690.43,91.76
1.78-1.79 kHz,1785,1500354686.91,91.76
1.79-1.80 kHz,1795,1500356683.36,91.76
1.80-1.81 kHz,1805,1500358679.80,91.76
1.81-1.82 kHz,1815,1500360676.22,91.76
1.82-1.83 kHz,1825,1500362672.62,91.76
1.83-1.84 kHz,1835,1500364669.00,91.76
1.84-1.85 kHz,1845,1500366665.36,91.76
1.85-1.86 kHz,1855,1500368661.70,91.76
1.86-1.87 kHz,1865,1500370658.01,91.76
1.87-1.88 kHz,1875,1500372654.31,91.76
1.88-1.89 kHz,1885,1500374650.59,91.76
1.89-1.90 kHz,1895,1500376646.85,91.76
1.90-1.91 kHz,1905,1500378643.09,91.76
1.91-1.92 kHz,1915,1500380639.31,91.76
1.92-1.93 kHz,1925,1500382635.51,91.76
1.93-1.94 kHz,1935,1500384631.69,91.76
1.94-1.95 kHz,1945,1500386627.85,91.76
1.95-1.96 kHz,1955,1500388623.99,91.76
1.96-1.97 kHz,1965,1500390620.11,91.76
1.97-1.98 kHz,1975,1500392616.21,91.76
1.98-1.99 kHz,1985,1500394612.29,91.76
1.99-2.00 kHz,1995,1500396608.35,91.76
2.00-2.01 kHz,2005,1500398604.39,91.76
2.01-2.02 kHz,2015,1500400600.41,91.76
2.02-2.03 kHz,2025,1500402596.41,91.76
2.03-2.04 kHz,2035,1500404592.39,91.76
2.04-2.05 kHz,2045,1500406588.35,91.76
2.05-2.06 kHz,2055,1500408584.29,91.76
2.06-2.07 kHz,2065,1500410580.21,91.76
2.07-2.08 kHz,2075,1500412576.11,91.76
2.08-2.09 kHz,2085,1500414571.99,91.76
2.09-2.10 kHz,2095,1500416567.85,91.76
2.10-2.11 kHz,2105,1500418563.69,91.76
2.11-2.12 kHz,2115,1500420559.51,91.76
2.12-2.13 kHz,2125,1500422555.31,91.76
2.13-2.14 kHz,2135,1500424551.09,91.76
2.14-2.15 kHz,2145,1500426546.85,91.76
2.15-2.16 kHz,2155,1500428542.59,91.76
2.16-2.17 kHz,2165,1500430538.32,91.76
2.17-2.18 kHz,2175,1500432534.02,91.76
2.18-2.19 kHz,2185,1500434529.70,91.76
2.19-2.20 kHz,2195,1500436525.36,91.76
2.20-2.21 kHz,2205,1500438521.00,91.76
2.21-2.22 kHz,2215,1500440516.62,91.76
2.22-2.23 kHz,2225,1500442512.22,91.76
2.23-2.24 kHz,2235,1500444507.81,91.76
2.24-2.25 kHz,2245,1500446503.37,91.76
2.25-2.26 kHz,2255,1500448498.91,91.76
2.26-2.27 kHz,2265,1500450494.43,91.76
2.27-2.28 kHz,2275,1500452489.93,91.76
2.28-2.29 kHz,2285,1500454485.42,91.76
2.29-2.30 kHz,2295,1500456480.88,91.76
2.30-2.31 kHz,2305,1500458476.32,91.76
2.31-2.32 kHz,2315,1500460471.74,91.76
2.32-2.33 kHz,2325,1500462467.15,91.76
2.33-2.34 kHz,2335,1500464462.53,91.76
2.34-2.35 kHz,2345,1500466457.89,91.76
2.35-2.36 kHz,2355,1500468453.23,91.76
2.36-2.37 kHz,2365,1500470448.56,91.76
2.37-2.38 kHz,2375,1500472443.86,91.76
2.38-2.39 kHz,2385,1500474439.14,91.76
2.39-2.40 kHz,2395,1500476434.40,91.76
2.40-2.41 kHz,2405,1500478429.65,91.76
2.41-2.42 kHz,2415,1500480424.87,91.76
2.42-2.43 kHz,2425,1500482420.07,91.76
2.43-2.44 kHz,2435,1500484415.26,91.76
2.44-2.45 kHz,2445,1500486410.42,91.76
2.45-2.46 kHz,2455,1500488405.56,91.76
2.46-2.47 kHz,2465,1500490400.69,91.76
2.47-2.48 kHz,2475,1500492395.79,91.76
2.48-2.49 kHz,2485,1500494390.88,91.76
2.49-2.50 kHz,2495,1500496385.94,91.76
2.50-2.51 kHz,2505,1500498380.98,91.76
2.51-2.52 kHz,2515,1500500376.01,91.76
2.52-2.53 kHz,2525,1500502371.01,91.76
2.53-2.54 kHz,2535,1500504366.00,91.76
2.54-2.55 kHz,2545,1500506360.96,91.76
2.55-2.56 kHz,2555,1500508355.90,91.76
2.56-2.57 kHz,2565,1500510350.83,91.76
2.57-2.58 kHz,2575,1500512345.73,91.76
2.58-2.59 kHz,2585,1500514340.62,91.76
2.59-2.60 kHz,2595,1500516335.48,91.76
2.60-2.61 kHz,2605,1500518330.33,91.76
2.61-2.62 kHz,2615,1500520325.15,91.76
2.62-2.63 kHz,2625,1500522319.96,91.76
2.63-2.64 kHz,2635,1500524314.74,91.76
2.64-2.65 kHz,2645,1500526309.51,91.76
2.65-2.66 kHz,2655,1500528304.25,91.76
2.66-2.67 kHz,2665,1500530298.98,91.76
2.67-2.68 kHz,2675,1500532293.68,91.76
2.68-2.69 kHz,2685,1500534288.37,91.76
2.69-2.70 kHz,2695,1500536283.03,91.76
2.70-2.71 kHz,2705,1500538277.68,91.76
2.71-2.72 kHz,2715,1500540272.30,91.76
2.72-2.73 kHz,2725,1500542266.91,91.76
2.73-2.74 kHz,2735,1500544261.49,91.76
2.74-2.75 kHz,2745,1500546256.06,91.76
2.75-2.76 kHz,2755,1500548250.61,91.76
2.76-2.77 kHz,2765,1500550245.13,91.76
2.77-2.78 kHz,2775,1500552239.64,91.76
2.78-2.79 kHz,2785,1500554234.12,91.76
2.79-2.80 kHz,2795,1500556228.59,91.76
2.80-2.81 kHz,2805,1500558223.04,91.76
2.81-2.82 kHz,2815,1500560217.46,91.76
2.82-2.83 kHz,2825,1500562211.87,91.76
2.83-2.84 kHz,2835,1500564206.26,91.76
2.84-2.85 kHz,2845,1500566200.62,91.76
2.85-2.86 kHz,2855,1500568194.97,91.76
2.86-2.87 kHz,2865,1500570189.30,91.76
2.87-2.88 kHz,2875,1500572183.60,91.76
2.88-2.89 kHz,2885,1500574177.89,91.76
2.89-2.90 kHz,2895,1500576172.16,91.76
2.90-2.91 kHz,2905,1500578166.40,91.76
2.91-2.92 kHz,2915,1500580160.63,91.76
2.92-2.93 kHz,2925,1500582154.84,91.76
2.93-2.94 kHz,2935,1500584149.03,91.76
2.94-2.95 kHz,2945,1500586143.19,91.76
2.95-2.96 kHz,2955,1500588137.34,91.76
